Units Sold,EUR revenues,Product,Date,Retailer,Sales Method,DIMENSION3,City,State,Region,HIERARCHY5,WATERFALL-COMPONENT
419,1182.69,Product B,2022-11-10,Retailer 3,In-Store,Dimension C,City B,State X,Region 2,Hierarchy Placeholder,seasonality
442,3956.15,Product A,2022-12-04,Retailer 1,Telephone,Dimension A,City A,State Z,Region 3,Hierarchy Placeholder,manual adjustment
523,3284.44,Product C,2023-05-07,Retailer 2,Telephone,Dimension C,City C,State Z,Region 2,Hierarchy Placeholder,seasonality
514,1182.07,Product A,2023-02-11,Retailer 1,Telephone,Dimension B,City B,State Y,Region 3,Hierarchy Placeholder,seasonality
386,2265.55,Product C,2023-01-28,Retailer 3,Online,Dimension B,City A,State X,Region 3,Hierarchy Placeholder,seasonality
785,1004.1,Product B,2023-06-25,Retailer 3,Telephone,Dimension B,City C,State Z,Region 1,Hierarchy Placeholder,manual adjustment
982,1404.06,Product A,2023-06-05,Retailer 1,Telephone,Dimension B,City C,State Z,Region 3,Hierarchy Placeholder,trend
563,2734.72,Product B,2023-04-11,Retailer 3,Telephone,Dimension B,City C,State Z,Region 1,Hierarchy Placeholder,manual adjustment
812,4923.48,Product A,2023-03-14,Retailer 1,Telephone,Dimension A,City B,State Z,Region 1,Hierarchy Placeholder,manual adjustment
429,1090.55,Product A,2023-10-15,Retailer 3,Telephone,Dimension A,City C,State Z,Region 1,Hierarchy Placeholder,trend
394,4257.2,Product B,2023-07-02,Retailer 3,In-Store,Dimension C,City B,State X,Region 1,Hierarchy Placeholder,manual adjustment
424,3393.47,Product C,2023-09-13,Retailer 2,Online,Dimension A,City A,State X,Region 2,Hierarchy Placeholder,trend
679,3072.72,Product C,2023-07-10,Retailer 3,Telephone,Dimension C,City B,State X,Region 2,Hierarchy Placeholder,trend
50,1734.53,Product C,2022-11-23,Retailer 3,Telephone,Dimension A,City A,State Y,Region 2,Hierarchy Placeholder,trend
195,3169.32,Product C,2022-12-08,Retailer 2,In-Store,Dimension A,City B,State X,Region 1,Hierarchy Placeholder,seasonality
147,4436.04,Product B,2023-02-09,Retailer 1,In-Store,Dimension B,City A,State Y,Region 1,Hierarchy Placeholder,manual adjustment
